COG0477	GEPR	Carbohydrate_transport_and_metabolism/Amino_acid_transport_and_metabolism/Inorganic_ion_transport_and_metabolism/General_function_prediction_only	MFS family permease
COG5017	G	Carbohydrate_transport_and_metabolism	UDP-N-acetylglucosamine transferase subunit ALG13
COG5026	G	Carbohydrate_transport_and_metabolism	Hexokinase
COG5263	G	Carbohydrate_transport_and_metabolism	Glucan-binding domain (YG repeat)
COG5297	G	Carbohydrate_transport_and_metabolism	Cellulase/cellobiase CelA1
COG5309	G	Carbohydrate_transport_and_metabolism	"Exo-beta-1,3-glucanase, GH17 family"
COG5434	G	Carbohydrate_transport_and_metabolism	Polygalacturonase
COG5498	G	Carbohydrate_transport_and_metabolism	Endoglucanase Acf2
COG5521	G	Carbohydrate_transport_and_metabolism	Maltodextrin utilization protein YvdJ (function unknown)
COG5542	G	Carbohydrate_transport_and_metabolism	Mannosyltransferase related to Gpi18
COG0001	H	Coenzyme_transport_and_metabolism	Glutamate-1-semialdehyde aminotransferase
COG0007	H	Coenzyme_transport_and_metabolism	Uroporphyrinogen-III methylase (siroheme synthase)
COG0029	H	Coenzyme_transport_and_metabolism	Aspartate oxidase
COG0043	H	Coenzyme_transport_and_metabolism	3-polyprenyl-4-hydroxybenzoate decarboxylase
COG0054	H	Coenzyme_transport_and_metabolism	"6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)"
COG0095	H	Coenzyme_transport_and_metabolism	Lipoate-protein ligase A
COG0108	H	Coenzyme_transport_and_metabolism	"3,4-dihydroxy-2-butanone 4-phosphate synthase"
COG0113	H	Coenzyme_transport_and_metabolism	"Delta-aminolevulinic acid dehydratase, porphobilinogen synthase"
COG0117	H	Coenzyme_transport_and_metabolism	Pyrimidine deaminase domain of riboflavin biosynthesis protein RibD
COG0132	H	Coenzyme_transport_and_metabolism	Dethiobiotin synthetase
COG0142	H	Coenzyme_transport_and_metabolism	Geranylgeranyl pyrophosphate synthase
COG0156	H	Coenzyme_transport_and_metabolism	7-keto-8-aminopelargonate synthetase or related enzyme
COG0157	H	Coenzyme_transport_and_metabolism	Nicotinate-nucleotide pyrophosphorylase
COG0161	H	Coenzyme_transport_and_metabolism	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
COG0163	H	Coenzyme_transport_and_metabolism	3-polyprenyl-4-hydroxybenzoate decarboxylase
COG0171	H	Coenzyme_transport_and_metabolism	NH3-dependent NAD+ synthetase
COG0181	H	Coenzyme_transport_and_metabolism	Porphobilinogen deaminase
COG0190	H	Coenzyme_transport_and_metabolism	"5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase"
COG0192	H	Coenzyme_transport_and_metabolism	S-adenosylmethionine synthetase
COG0196	H	Coenzyme_transport_and_metabolism	FAD synthase
COG0212	H	Coenzyme_transport_and_metabolism	5-formyltetrahydrofolate cyclo-ligase
COG0214	H	Coenzyme_transport_and_metabolism	Pyridoxal biosynthesis lyase PdxS
COG0237	H	Coenzyme_transport_and_metabolism	Dephospho-CoA kinase
COG0259	H	Coenzyme_transport_and_metabolism	Pyridoxine/pyridoxamine 5'-phosphate oxidase
COG0262	H	Coenzyme_transport_and_metabolism	Dihydrofolate reductase
COG0276	H	Coenzyme_transport_and_metabolism	Protoheme ferro-lyase (ferrochelatase)
COG0285	H	Coenzyme_transport_and_metabolism	Folylpolyglutamate synthase/Dihydropteroate synthase
COG0294	H	Coenzyme_transport_and_metabolism	Dihydropteroate synthase
COG0302	H	Coenzyme_transport_and_metabolism	GTP cyclohydrolase I
COG0303	H	Coenzyme_transport_and_metabolism	Molybdopterin biosynthesis enzyme
COG0307	H	Coenzyme_transport_and_metabolism	Riboflavin synthase alpha chain
COG0311	H	Coenzyme_transport_and_metabolism	Glutamine amidotransferase PdxT (pyridoxal biosynthesis)
COG0314	H	Coenzyme_transport_and_metabolism	Molybdopterin synthase catalytic subunit
COG0315	H	Coenzyme_transport_and_metabolism	Molybdenum cofactor biosynthesis enzyme
COG0320	H	Coenzyme_transport_and_metabolism	Lipoate synthase
COG0321	H	Coenzyme_transport_and_metabolism	Lipoate-protein ligase B
COG0327	H	Coenzyme_transport_and_metabolism	"Putative GTP cyclohydrolase 1 type 2, NIF3 family"
COG0340	H	Coenzyme_transport_and_metabolism	Biotin-(acetyl-CoA carboxylase) ligase
COG0351	H	Coenzyme_transport_and_metabolism	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
COG0352	H	Coenzyme_transport_and_metabolism	Thiamine monophosphate synthase
COG0368	H	Coenzyme_transport_and_metabolism	Cobalamin synthase
COG0373	H	Coenzyme_transport_and_metabolism	Glutamyl-tRNA reductase
COG0379	H	Coenzyme_transport_and_metabolism	Quinolinate synthase
COG0382	H	Coenzyme_transport_and_metabolism	4-hydroxybenzoate polyprenyltransferase
COG0407	H	Coenzyme_transport_and_metabolism	Uroporphyrinogen-III decarboxylase
COG0408	H	Coenzyme_transport_and_metabolism	Coproporphyrinogen III oxidase
COG0413	H	Coenzyme_transport_and_metabolism	Ketopantoate hydroxymethyltransferase
COG0414	H	Coenzyme_transport_and_metabolism	Panthothenate synthetase
COG0422	H	Coenzyme_transport_and_metabolism	Thiamine biosynthesis protein ThiC
COG0432	H	Coenzyme_transport_and_metabolism	"Thiamin phosphate synthase YjbQ, UPF0047 family"
COG0447	H	Coenzyme_transport_and_metabolism	"1,4-Dihydroxy-2-naphthoyl-CoA synthase"
COG0452	H	Coenzyme_transport_and_metabolism	Phosphopantothenoylcysteine synthetase/decarboxylase
COG0476	H	Coenzyme_transport_and_metabolism	Molybdopterin or thiamine biosynthesis adenylyltransferase
COG0499	H	Coenzyme_transport_and_metabolism	S-adenosylhomocysteine hydrolase
COG0502	H	Coenzyme_transport_and_metabolism	Biotin synthase or related enzyme
COG0510	H	Coenzyme_transport_and_metabolism	Thiamine kinase and related kinases
COG0521	H	Coenzyme_transport_and_metabolism	Molybdopterin biosynthesis enzyme MoaB
COG0611	H	Coenzyme_transport_and_metabolism	Thiamine monophosphate kinase
COG0619	H	Coenzyme_transport_and_metabolism	Energy-coupling factor transporter transmembrane protein EcfT
COG0635	H	Coenzyme_transport_and_metabolism	Coproporphyrinogen III oxidase or related Fe-S oxidoreductase
COG0669	H	Coenzyme_transport_and_metabolism	Phosphopantetheine adenylyltransferase
COG0720	H	Coenzyme_transport_and_metabolism	6-pyruvoyl-tetrahydropterin synthase
COG0746	H	Coenzyme_transport_and_metabolism	Molybdopterin-guanine dinucleotide biosynthesis protein A
COG0801	H	Coenzyme_transport_and_metabolism	"7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase"
COG0807	H	Coenzyme_transport_and_metabolism	GTP cyclohydrolase II
COG0819	H	Coenzyme_transport_and_metabolism	Thiaminase
COG0853	H	Coenzyme_transport_and_metabolism	Aspartate 1-decarboxylase
COG0854	H	Coenzyme_transport_and_metabolism	Pyridoxine 5'-phosphate synthase PdxJ
COG1010	H	Coenzyme_transport_and_metabolism	Precorrin-3B methylase
COG1011	H	Coenzyme_transport_and_metabolism	"FMN phosphatase YigB, HAD superfamily"
COG1019	H	Coenzyme_transport_and_metabolism	Phosphopantetheine adenylyltransferase
COG1056	H	Coenzyme_transport_and_metabolism	Nicotinamide mononucleotide adenylyltransferase
COG1057	H	Coenzyme_transport_and_metabolism	Nicotinic acid mononucleotide adenylyltransferase
COG1060	H	Coenzyme_transport_and_metabolism	"2-iminoacetate synthase ThiH (tyrosine cleavage enzyme, thamine biosynthesis)"
COG1072	H	Coenzyme_transport_and_metabolism	Panthothenate kinase
COG1165	H	Coenzyme_transport_and_metabolism	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
COG1232	H	Coenzyme_transport_and_metabolism	Protoporphyrinogen oxidase
COG1239	H	Coenzyme_transport_and_metabolism	Mg-chelatase subunit ChlI
COG1240	H	Coenzyme_transport_and_metabolism	Mg-chelatase subunit ChlD
COG1268	H	Coenzyme_transport_and_metabolism	Biotin transporter BioY
COG1270	H	Coenzyme_transport_and_metabolism	Cobalamin biosynthesis protein CobD/CbiB
COG1339	H	Coenzyme_transport_and_metabolism	Archaeal CTP-dependent riboflavin kinase
COG1424	H	Coenzyme_transport_and_metabolism	Pimeloyl-CoA synthetase
COG1429	H	Coenzyme_transport_and_metabolism	"Cobalamin biosynthesis protein CobN, Mg-chelatase"
COG1441	H	Coenzyme_transport_and_metabolism	O-succinylbenzoate synthase
COG1469	H	Coenzyme_transport_and_metabolism	GTP cyclohydrolase FolE2
COG1477	H	Coenzyme_transport_and_metabolism	Thiamine biosynthesis lipoprotein ApbE
COG1478	H	Coenzyme_transport_and_metabolism	F420-0:Gamma-glutamyl ligase (F420 biosynthesis)
COG1488	H	Coenzyme_transport_and_metabolism	Nicotinic acid phosphoribosyltransferase
COG1492	H	Coenzyme_transport_and_metabolism	Cobyric acid synthase
COG1521	H	Coenzyme_transport_and_metabolism	Pantothenate kinase type III
COG1539	H	Coenzyme_transport_and_metabolism	Dihydroneopterin aldolase
COG1541	H	Coenzyme_transport_and_metabolism	"Phenylacetate-coenzyme A ligase PaaK, adenylate-forming domain family"
COG1546	H	Coenzyme_transport_and_metabolism	Nicotinamide mononucleotide (NMN) deamidase PncC
COG1564	H	Coenzyme_transport_and_metabolism	Thiamine pyrophosphokinase
COG1575	H	Coenzyme_transport_and_metabolism	"1,4-dihydroxy-2-naphthoate octaprenyltransferase"
COG1587	H	Coenzyme_transport_and_metabolism	Uroporphyrinogen-III synthase
COG1612	H	Coenzyme_transport_and_metabolism	Heme A synthase
COG1635	H	Coenzyme_transport_and_metabolism	"Archaeal ribulose 1,5-bisphosphate synthetase/yeast thiazole synthase"
COG1648	H	Coenzyme_transport_and_metabolism	Siroheme synthase (precorrin-2 oxidase/ferrochelatase domain)
COG1701	H	Coenzyme_transport_and_metabolism	Archaeal phosphopantothenate synthetase
COG1731	H	Coenzyme_transport_and_metabolism	Archaeal riboflavin synthase
COG1763	H	Coenzyme_transport_and_metabolism	Molybdopterin-guanine dinucleotide biosynthesis protein
COG1767	H	Coenzyme_transport_and_metabolism	Triphosphoribosyl-dephospho-CoA synthetase
COG1797	H	Coenzyme_transport_and_metabolism	"Cobyrinic acid a,c-diamide synthase"
COG1809	H	Coenzyme_transport_and_metabolism	"Phosphosulfolactate synthase, CoM biosynthesis protein A"
COG1812	H	Coenzyme_transport_and_metabolism	Archaeal S-adenosylmethionine synthetase
COG1829	H	Coenzyme_transport_and_metabolism	Archaeal pantoate kinase
COG1865	H	Coenzyme_transport_and_metabolism	Adenosylcobinamide amidohydrolase
COG1893	H	Coenzyme_transport_and_metabolism	Ketopantoate reductase
COG1903	H	Coenzyme_transport_and_metabolism	Cobalamin biosynthesis protein CbiD
COG1912	H	Coenzyme_transport_and_metabolism	S-adenosylmethionine hydrolase (SAM-hydroxide adenosyltransferase)
COG1920	H	Coenzyme_transport_and_metabolism	"2-phospho-L-lactate guanylyltransferase, coenzyme F420 biosynthesis enzyme, CobY/MobA/RfbA family"
COG1962	H	Coenzyme_transport_and_metabolism	"Tetrahydromethanopterin S-methyltransferase, subunit H"
COG1977	H	Coenzyme_transport_and_metabolism	"Molybdopterin converting factor, small subunit"
COG1985	H	Coenzyme_transport_and_metabolism	"Pyrimidine reductase, riboflavin biosynthesis"
COG1995	H	Coenzyme_transport_and_metabolism	4-hydroxy-L-threonine phosphate dehydrogenase PdxA
COG2022	H	Coenzyme_transport_and_metabolism	"Thiamin biosynthesis thiazole synthase ThiGH, ThiG subunit"
COG2038	H	Coenzyme_transport_and_metabolism	NaMN:DMB phosphoribosyltransferase
COG2068	H	Coenzyme_transport_and_metabolism	CTP:molybdopterin cytidylyltransferase MocA
COG2073	H	Coenzyme_transport_and_metabolism	Cobalamin biosynthesis protein CbiG
COG2082	H	Coenzyme_transport_and_metabolism	Precorrin isomerase
COG2087	H	Coenzyme_transport_and_metabolism	Adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase
COG2091	H	Coenzyme_transport_and_metabolism	Phosphopantetheinyl transferase
COG2096	H	Coenzyme_transport_and_metabolism	Cob(I)alamin adenosyltransferase
COG2099	H	Coenzyme_transport_and_metabolism	Precorrin-6x reductase
COG2104	H	Coenzyme_transport_and_metabolism	Sulfur carrier protein ThiS (thiamine biosynthesis)
COG2109	H	Coenzyme_transport_and_metabolism	ATP:corrinoid adenosyltransferase
COG2138	H	Coenzyme_transport_and_metabolism	Sirohydrochlorin ferrochelatase
COG2145	H	Coenzyme_transport_and_metabolism	"Hydroxyethylthiazole kinase, sugar kinase family"
COG2154	H	Coenzyme_transport_and_metabolism	Pterin-4a-carbinolamine dehydratase
COG2226	H	Coenzyme_transport_and_metabolism	Ubiquinone/menaquinone biosynthesis C-methylase UbiE
COG2227	H	Coenzyme_transport_and_metabolism	"2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase"
COG2236	H	Coenzyme_transport_and_metabolism	Hypoxanthine phosphoribosyltransferase
COG2240	H	Coenzyme_transport_and_metabolism	Pyridoxal/pyridoxine/pyridoxamine kinase
COG2241	H	Coenzyme_transport_and_metabolism	Precorrin-6B methylase 1
COG2242	H	Coenzyme_transport_and_metabolism	Precorrin-6B methylase 2
COG2243	H	Coenzyme_transport_and_metabolism	Precorrin-2 methylase
COG2266	H	Coenzyme_transport_and_metabolism	GTP:adenosylcobinamide-phosphate guanylyltransferase
COG2329	H	Coenzyme_transport_and_metabolism	Heme-degrading monooxygenase HmoA and related ABM domain proteins
COG2875	H	Coenzyme_transport_and_metabolism	Precorrin-4 methylase
COG2896	H	Coenzyme_transport_and_metabolism	Molybdenum cofactor biosynthesis enzyme MoaA
COG2918	H	Coenzyme_transport_and_metabolism	Gamma-glutamylcysteine synthetase
COG2941	H	Coenzyme_transport_and_metabolism	"Demethoxyubiquinone hydroxylase, CLK1/Coq7/Cat5 family"
COG2978	H	Coenzyme_transport_and_metabolism	p-Aminobenzoyl-glutamate transporter AbgT
COG3161	H	Coenzyme_transport_and_metabolism	4-hydroxybenzoate synthetase (chorismate-pyruvate lyase)
COG3165	H	Coenzyme_transport_and_metabolism	"Ubiquinone biosynthesis protein UbiJ, contains SCP2 domain"
COG3172	H	Coenzyme_transport_and_metabolism	Nicotinamide riboside kinase
COG3201	H	Coenzyme_transport_and_metabolism	Nicotinamide riboside transporter PnuC
COG3252	H	Coenzyme_transport_and_metabolism	Methenyltetrahydromethanopterin cyclohydrolase
COG3445	H	Coenzyme_transport_and_metabolism	Autonomous glycyl radical cofactor GrcA
COG3572	H	Coenzyme_transport_and_metabolism	Gamma-glutamylcysteine synthetase
COG3585	H	Coenzyme_transport_and_metabolism	Molybdopterin-binding protein
COG3601	H	Coenzyme_transport_and_metabolism	Riboflavin transporter FmnP
COG3840	H	Coenzyme_transport_and_metabolism	"ABC-type thiamine transport system, ATPase component"
COG3859	H	Coenzyme_transport_and_metabolism	Thiamine transporter ThiT
COG4032	H	Coenzyme_transport_and_metabolism	"Sulfopyruvate decarboxylase, TPP-binding subunit (coenzyme M biosynthesis)"
COG4054	H	Coenzyme_transport_and_metabolism	"Methyl coenzyme M reductase, beta subunit"
COG4055	H	Coenzyme_transport_and_metabolism	"Methyl coenzyme M reductase, subunit D"
COG4056	H	Coenzyme_transport_and_metabolism	"Methyl coenzyme M reductase, subunit C"
COG4057	H	Coenzyme_transport_and_metabolism	"Methyl coenzyme M reductase, gamma subunit"
COG4058	H	Coenzyme_transport_and_metabolism	"Methyl coenzyme M reductase, alpha subunit"
COG4059	H	Coenzyme_transport_and_metabolism	"Tetrahydromethanopterin S-methyltransferase, subunit E"
COG4060	H	Coenzyme_transport_and_metabolism	"Tetrahydromethanopterin S-methyltransferase, subunit D"
COG4061	H	Coenzyme_transport_and_metabolism	"Tetrahydromethanopterin S-methyltransferase, subunit C"
COG4062	H	Coenzyme_transport_and_metabolism	"Tetrahydromethanopterin S-methyltransferase, subunit B"
COG4063	H	Coenzyme_transport_and_metabolism	"Tetrahydromethanopterin S-methyltransferase, subunit A"
COG4064	H	Coenzyme_transport_and_metabolism	"Tetrahydromethanopterin S-methyltransferase, subunit G"
COG4138	H	Coenzyme_transport_and_metabolism	"ABC-type cobalamin transport system, ATPase component"
COG4139	H	Coenzyme_transport_and_metabolism	"ABC-type cobalamin transport system, permease component"
COG4143	H	Coenzyme_transport_and_metabolism	"ABC-type thiamine transport system, periplasmic component"
COG4145	H	Coenzyme_transport_and_metabolism	Na+/panthothenate symporter
COG4206	H	Coenzyme_transport_and_metabolism	Outer membrane cobalamin receptor protein
COG4218	H	Coenzyme_transport_and_metabolism	"Tetrahydromethanopterin S-methyltransferase, subunit F"
COG4256	H	Coenzyme_transport_and_metabolism	Hemin uptake protein HemP
COG4547	H	Coenzyme_transport_and_metabolism	"Cobalamin biosynthesis protein CobT (nicotinate-mononucleotide:5, 6-dimethylbenzimidazole phosphorib..."
COG4635	H	Coenzyme_transport_and_metabolism	"Protoporphyrinogen IX oxidase, menaquinone-dependent (flavodoxin domain)"
COG4721	H	Coenzyme_transport_and_metabolism	"ABC-type thiamine/hydroxymethylpyrimidine transport system, permease component"
COG4822	H	Coenzyme_transport_and_metabolism	"Cobalamin biosynthesis protein CbiK, Co2+ chelatase"
COG5031	H	Coenzyme_transport_and_metabolism	Ubiquinone biosynthesis protein Coq4
COG5146	H	Coenzyme_transport_and_metabolism	Pantothenate kinase
COG5398	H	Coenzyme_transport_and_metabolism	Heme oxygenase
COG5424	H	Coenzyme_transport_and_metabolism	Pyrroloquinoline quinone (PQQ) biosynthesis protein C
COG5590	H	Coenzyme_transport_and_metabolism	Ubiquinone biosynthesis protein COQ9
COG5598	H	Coenzyme_transport_and_metabolism	Trimethylamine:corrinoid methyltransferase
COG0020	I	Lipid_transport_and_metabolism	Undecaprenyl pyrophosphate synthase
COG0183	I	Lipid_transport_and_metabolism	Acetyl-CoA acetyltransferase
COG0204	I	Lipid_transport_and_metabolism	1-acyl-sn-glycerol-3-phosphate acyltransferase
COG0245	I	Lipid_transport_and_metabolism	"2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"
COG0331	I	Lipid_transport_and_metabolism	Malonyl CoA-acyl carrier protein transacylase
COG0332	I	Lipid_transport_and_metabolism	3-oxoacyl-[acyl-carrier-protein] synthase III
